left_eye_263,left_eye_387,left_eye_385,left_eye_326,left_eye_380,left_eye_373,right_eye_33,right_eye_160,right_eye_158,right_eye_133,right_eye_153,right_eye_144,mouth_78,mouth_82,mouth_312,mouth_308,mouth_317,mouth_87,head_10,head_152
"[0.4944671392440796, 0.5005316138267517, 0.05025272071361542]","[0.5338315367698669, 0.49231287837028503, 0.04996524006128311]","[0.5673879384994507, 0.4936310350894928, 0.05718279629945755]","[0.5912964344024658, 0.5014970898628235, 0.07755832374095917]","[0.5655553340911865, 0.5063271522521973, 0.055137231945991516]","[0.5316222310066223, 0.5056878328323364, 0.04704493284225464]","[0.3772258758544922, 0.49984338879585266, 0.04446389153599739]","[0.3441568613052368, 0.4913742244243622, 0.035165924578905106]","[0.3100580871105194, 0.4927210211753845, 0.03723127394914627]","[0.2830168604850769, 0.5003733038902283, 0.054024774581193924]","[0.31206804513931274, 0.5052139163017273, 0.03567790612578392]","[0.34659767150878906, 0.5045466423034668, 0.0327005609869957]","[0.35564571619033813, 0.6247565746307373, -0.04139906167984009]","[0.4189363420009613, 0.6177706122398376, -0.0685819461941719]","[0.46108654141426086, 0.6178625822067261, -0.06488141417503357]","[0.5153276324272156, 0.625118613243103, -0.02856515534222126]","[0.46133726835250854, 0.6218751668930054, -0.06745544075965881]","[0.4180641770362854, 0.62178635597229, -0.0713265910744667]","[0.4432827830314636, 0.39784157276153564, 0.06660350412130356]","[0.4363296926021576, 0.7163997292518616, -0.06906989961862564]"
"[0.4937734305858612, 0.5004979968070984, 0.049957241863012314]","[0.53301602602005, 0.49214619398117065, 0.04968293383717537]","[0.5664897561073303, 0.49349963665008545, 0.05704289674758911]","[0.5901601314544678, 0.5014020800590515, 0.07756984978914261]","[0.5647315382957458, 0.5062825679779053, 0.05502741038799286]","[0.5308748483657837, 0.5057006478309631, 0.04684150591492653]","[0.3771039545536041, 0.4997701942920685, 0.04379593953490257]","[0.3438994884490967, 0.49125856161117554, 0.034406717866659164]","[0.3098636865615845, 0.492672324180603, 0.036417435854673386]","[0.2829672396183014, 0.500339150428772, 0.05320609360933304]","[0.3119654059410095, 0.5051774978637695, 0.03488915413618088]","[0.34647300839424133, 0.5045229196548462, 0.03199448436498642]","[0.35614269971847534, 0.6243645548820496, -0.04136702045798302]","[0.41942325234413147, 0.6176467537879944, -0.06798145174980164]","[0.46133196353912354, 0.6177206635475159, -0.06414327770471573]","[0.5150001049041748, 0.6246417164802551, -0.028116626664996147]","[0.4615938663482666, 0.6213493943214417, -0.06694216281175613]","[0.41864633560180664, 0.6212928891181946, -0.07096713781356812]","[0.44258883595466614, 0.39755475521087646, 0.06564594805240631]","[0.4367055296897888, 0.7154226899147034, -0.06849752366542816]"
"[0.49490514397621155, 0.4999407231807709, 0.05085040256381035]","[0.5344473123550415, 0.49182742834091187, 0.050594083964824677]","[0.5681880712509155, 0.49315786361694336, 0.058003511279821396]","[0.5921965837478638, 0.5009320974349976, 0.07863927632570267]","[0.5662912130355835, 0.5056846141815186, 0.05599462240934372]","[0.5322113037109375, 0.5049997568130493, 0.04772152379155159]","[0.37635594606399536, 0.4992539584636688, 0.04468163847923279]","[0.3430899381637573, 0.4910009503364563, 0.03513818606734276]","[0.30874794721603394, 0.4924051761627197, 0.037153955549001694]","[0.2815113067626953, 0.4999978840351105, 0.05405298247933388]","[0.31091681122779846, 0.5047132968902588, 0.035647667944431305]","[0.3456478714942932, 0.5039477348327637, 0.03272571042180061]","[0.35642170906066895, 0.624926745891571, -0.042365189641714096]","[0.4196281135082245, 0.6177371740341187, -0.06932085752487183]","[0.46165671944618225, 0.6177750825881958, -0.06547226756811142]","[0.5155014395713806, 0.6251021027565002, -0.02894321084022522]","[0.4621210992336273, 0.621831476688385, -0.06803358346223831]","[0.4188641309738159, 0.6217935085296631, -0.07205525785684586]","[0.44272324442863464, 0.3975093960762024, 0.06694580614566803]","[0.43760398030281067, 0.7163177728652954, -0.06877928972244263]"
"[0.4946799874305725, 0.5001170039176941, 0.050967901945114136]","[0.5341022610664368, 0.4917406439781189, 0.05075443908572197]","[0.5678039789199829, 0.49299925565719604, 0.058045487850904465]","[0.5918052792549133, 0.5008634924888611, 0.07853645086288452]","[0.5660400986671448, 0.5057191252708435, 0.05595158413052559]","[0.53202223777771, 0.5051355361938477, 0.047772977501153946]","[0.3767680525779724, 0.4996141195297241, 0.04498780518770218]","[0.3435131907463074, 0.4912274181842804, 0.035627659410238266]","[0.309278666973114, 0.49267011880874634, 0.03766556456685066]","[0.2821636497974396, 0.5003893971443176, 0.05448266863822937]","[0.3114125728607178, 0.5051000118255615, 0.03604348376393318]","[0.346060574054718, 0.5043350458145142, 0.03308897092938423]","[0.3566568195819855, 0.6244215369224548, -0.04232748597860336]","[0.41987836360931396, 0.6172158718109131, -0.06929374486207962]","[0.4620412290096283, 0.6172384023666382, -0.06550849229097366]","[0.516109824180603, 0.6245291233062744, -0.029185563325881958]","[0.46243393421173096, 0.6212981343269348, -0.06828482449054718]","[0.4191718101501465, 0.6212820410728455, -0.07221680134534836]","[0.44216105341911316, 0.39757293462753296, 0.06768506020307541]","[0.4383804202079773, 0.7157382965087891, -0.0700097307562828]"
"[0.49575942754745483, 0.5003761053085327, 0.050221845507621765]","[0.535483181476593, 0.491962730884552, 0.04986869543790817]","[0.5694240927696228, 0.49325186014175415, 0.05728938430547714]","[0.5934323072433472, 0.50112384557724, 0.07799427211284637]","[0.5674000382423401, 0.5060185194015503, 0.0553453154861927]","[0.5331987738609314, 0.5053739547729492, 0.047082677483558655]","[0.3767434358596802, 0.4996737837791443, 0.0441434346139431]","[0.34344133734703064, 0.49115806818008423, 0.034557681530714035]","[0.30891862511634827, 0.4925321340560913, 0.036644674837589264]","[0.2817073464393616, 0.5002334713935852, 0.05366060510277748]","[0.31117701530456543, 0.505072832107544, 0.035214319825172424]","[0.34597405791282654, 0.5043351054191589, 0.032222628593444824]","[0.3570905029773712, 0.624849796295166, -0.041743066161870956]","[0.420102596282959, 0.6178403496742249, -0.06886246800422668]","[0.46208563446998596, 0.6179187297821045, -0.06503342092037201]","[0.5160599946975708, 0.6251951456069946, -0.02844703197479248]","[0.46249833703041077, 0.6220299601554871, -0.06751912832260132]","[0.41927942633628845, 0.6219483613967896, -0.07147061079740524]","[0.44336482882499695, 0.39768579602241516, 0.06499047577381134]","[0.43801185488700867, 0.7159237265586853, -0.06699614226818085]"
"[0.4949091076850891, 0.5003417134284973, 0.04948684573173523]","[0.5344350337982178, 0.49232321977615356, 0.048897042870521545]","[0.5681130290031433, 0.49362629652023315, 0.056142743676900864]","[0.5921592712402344, 0.5012613534927368, 0.07667914032936096]","[0.5661311149597168, 0.5060436129570007, 0.05430043116211891]","[0.5320684909820557, 0.5053538680076599, 0.046232447028160095]","[0.3768288791179657, 0.4995351731777191, 0.04400448128581047]","[0.34380191564559937, 0.49135833978652954, 0.03457462415099144]","[0.3096557855606079, 0.49267056584358215, 0.03679930791258812]","[0.2826158404350281, 0.5000692009925842, 0.053795382380485535]","[0.3118152320384979, 0.5048269629478455, 0.03540065884590149]","[0.34634795784950256, 0.5041213035583496, 0.03230302780866623]","[0.3560367822647095, 0.6244893074035645, -0.04062372073531151]","[0.41886234283447266, 0.6177274584770203, -0.06799627840518951]","[0.4609062075614929, 0.6178237795829773, -0.0644134059548378]","[0.5151805877685547, 0.6248698830604553, -0.028141049668192863]","[0.46133726835250854, 0.6216642260551453, -0.0669960081577301]","[0.4181426465511322, 0.6215788125991821, -0.07072781771421432]","[0.44315582513809204, 0.3978908658027649, 0.0642610490322113]","[0.436795711517334, 0.7157562971115112, -0.0667307898402214]"
"[0.4943378269672394, 0.5004053115844727, 0.05021420866250992]","[0.5337291359901428, 0.49246305227279663, 0.04981180280447006]","[0.5673514008522034, 0.49374300241470337, 0.0571497417986393]","[0.5915354490280151, 0.5013680458068848, 0.07770965993404388]","[0.5656033754348755, 0.5061390995979309, 0.0551876537501812]","[0.5315178632736206, 0.5054762959480286, 0.047027766704559326]","[0.37634003162384033, 0.49971091747283936, 0.0443270318210125]","[0.34320566058158875, 0.4916626513004303, 0.03490824997425079]","[0.3091406524181366, 0.4930257499217987, 0.03703400865197182]","[0.2820226848125458, 0.5004225373268127, 0.0539194718003273]","[0.3112644851207733, 0.5051165819168091, 0.03553105145692825]","[0.3458516001701355, 0.5043731331825256, 0.032527729868888855]","[0.3561363220214844, 0.6244547963142395, -0.04166384041309357]","[0.4192465543746948, 0.6175190806388855, -0.06857360154390335]","[0.46118053793907166, 0.6175718903541565, -0.06484339386224747]","[0.5152961015701294, 0.6246598958969116, -0.02869361639022827]","[0.4616045355796814, 0.6210212707519531, -0.06764420121908188]","[0.41860470175743103, 0.6209874153137207, -0.07155352830886841]","[0.44211676716804504, 0.39770594239234924, 0.06590389460325241]","[0.4374011158943176, 0.7158305644989014, -0.06866200268268585]"
"[0.4940750300884247, 0.5004186034202576, 0.0508602112531662]","[0.5332676768302917, 0.4922129213809967, 0.05054108053445816]","[0.5666882991790771, 0.49337226152420044, 0.05759244039654732]","[0.5908936262130737, 0.5010932683944702, 0.07768397033214569]","[0.5650265216827393, 0.5059763789176941, 0.05541965737938881]","[0.531090259552002, 0.5053954124450684, 0.047506194561719894]","[0.3771308958530426, 0.500129759311676, 0.04556060954928398]","[0.3442913293838501, 0.49200764298439026, 0.03653157129883766]","[0.31053096055984497, 0.4934074878692627, 0.038708508014678955]","[0.2834653854370117, 0.5009692907333374, 0.05533544346690178]","[0.312512069940567, 0.5055845975875854, 0.036954719573259354]","[0.3468365967273712, 0.5048168301582336, 0.033861562609672546]","[0.35528722405433655, 0.6240018010139465, -0.04200785234570503]","[0.41826677322387695, 0.6167663335800171, -0.06904912739992142]","[0.4605056345462799, 0.6168301105499268, -0.06560105830430984]","[0.5147735476493835, 0.6242446899414062, -0.029785221442580223]","[0.4607354700565338, 0.6204640865325928, -0.06878113001585007]","[0.4176842272281647, 0.6204211711883545, -0.07237321138381958]","[0.4424031674861908, 0.39790910482406616, 0.06866812705993652]","[0.43658238649368286, 0.7160481810569763, -0.07182996720075607]"
"[0.4944083094596863, 0.5007448792457581, 0.050224561244249344]","[0.5335494875907898, 0.4924347400665283, 0.04970487952232361]","[0.5670351982116699, 0.49356764554977417, 0.056472428143024445]","[0.5913292169570923, 0.5013549327850342, 0.07621339708566666]","[0.5653430223464966, 0.5063661336898804, 0.054218195378780365]","[0.5313936471939087, 0.5058155059814453, 0.04659445583820343]","[0.3778676986694336, 0.5005305409431458, 0.0459040030837059]","[0.34535589814186096, 0.4922373294830322, 0.03723396360874176]","[0.3116229772567749, 0.4935472905635834, 0.039625611156225204]","[0.28456777334213257, 0.5011827945709229, 0.05623815208673477]","[0.31345346570014954, 0.5059488415718079, 0.037759605795145035]","[0.34761926531791687, 0.5052424073219299, 0.03444245457649231]","[0.3550918698310852, 0.6246742606163025, -0.041313812136650085]","[0.4176478087902069, 0.6172739267349243, -0.0689120888710022]","[0.45978668332099915, 0.6173437833786011, -0.06580148637294769]","[0.5140617489814758, 0.6249775886535645, -0.030236389487981796]","[0.45996734499931335, 0.6215206384658813, -0.06871172040700912]","[0.4169235825538635, 0.6214587688446045, -0.07195983827114105]","[0.44380268454551697, 0.3980039358139038, 0.06868907809257507]","[0.43532782793045044, 0.7163068056106567, -0.0714498832821846]"
"[0.4950585961341858, 0.5007145404815674, 0.05110778659582138]","[0.5340892672538757, 0.4925869405269623, 0.05122213065624237]","[0.5675113201141357, 0.49383559823036194, 0.0585273876786232]","[0.5914111137390137, 0.5016499757766724, 0.07868213206529617]","[0.5657808780670166, 0.5066169500350952, 0.05622554197907448]","[0.5319188237190247, 0.5059645771980286, 0.04808099940419197]","[0.37813010811805725, 0.5001275539398193, 0.044812824577093124]","[0.34541669487953186, 0.49179792404174805, 0.03566400706768036]","[0.31154417991638184, 0.4930397868156433, 0.037568774074316025]","[0.2843482494354248, 0.5005714297294617, 0.05385107547044754]","[0.31345075368881226, 0.5054615139961243, 0.03572896867990494]","[0.3478059768676758, 0.5047821998596191, 0.03293297812342644]","[0.3556106686592102, 0.6248272657394409, -0.04253312572836876]","[0.41923388838768005, 0.6174429059028625, -0.06933612376451492]","[0.4615476131439209, 0.6176013350486755, -0.06545599550008774]","[0.5152187347412109, 0.625373125076294, -0.028871824964880943]","[0.46162793040275574, 0.6218270659446716, -0.06831220537424088]","[0.41836830973625183, 0.6216993927955627, -0.07236728072166443]","[0.4448683261871338, 0.39753806591033936, 0.06889041513204575]","[0.4362260699272156, 0.7170219421386719, -0.07161456346511841]"
"[0.4936690628528595, 0.5010520815849304, 0.05149438977241516]","[0.5329018831253052, 0.49296674132347107, 0.051283106207847595]","[0.5664474964141846, 0.49411696195602417, 0.05834056809544563]","[0.5908201336860657, 0.5018408894538879, 0.07845642417669296]","[0.5649656653404236, 0.5067179203033447, 0.05605766922235489]","[0.5308961868286133, 0.5061662197113037, 0.04811118543148041]","[0.37634071707725525, 0.5009343028068542, 0.04602840915322304]","[0.34334784746170044, 0.49293407797813416, 0.0370594784617424]","[0.30949121713638306, 0.49436748027801514, 0.03919661417603493]","[0.2821982502937317, 0.5019240975379944, 0.05577978491783142]","[0.31130552291870117, 0.506481945514679, 0.03731277212500572]","[0.3457658588886261, 0.5057013630867004, 0.03425228223204613]","[0.3539482653141022, 0.6244745254516602, -0.04283688962459564]","[0.4174881875514984, 0.6168299317359924, -0.06975526362657547]","[0.4599423110485077, 0.6168779134750366, -0.06619778275489807]","[0.5143114924430847, 0.6246758699417114, -0.030358033254742622]","[0.46016380190849304, 0.6206220388412476, -0.06917059421539307]","[0.4169914722442627, 0.6205863356590271, -0.07287640124559402]","[0.4419516324996948, 0.3980075418949127, 0.07049935311079025]","[0.4356999397277832, 0.7164796590805054, -0.07366710156202316]"
"[0.4944767951965332, 0.5009182095527649, 0.051495715975761414]","[0.5339754223823547, 0.49310263991355896, 0.05090839043259621]","[0.5675100088119507, 0.4943317472934723, 0.05770086497068405]","[0.5920800566673279, 0.5020625591278076, 0.07753951847553253]","[0.565995454788208, 0.5068578720092773, 0.055329497903585434]","[0.531836986541748, 0.5062011480331421, 0.04770294204354286]","[0.3769493103027344, 0.50072181224823, 0.04725417122244835]","[0.34430408477783203, 0.49279850721359253, 0.03858067840337753]","[0.3103983998298645, 0.4941965937614441, 0.04106207564473152]","[0.2829413115978241, 0.5017663240432739, 0.057797204703092575]","[0.31196707487106323, 0.5063126087188721, 0.03907530754804611]","[0.3463892340660095, 0.5055254697799683, 0.03568125143647194]","[0.35402584075927734, 0.6250380277633667, -0.04280466586351395]","[0.41718462109565735, 0.6171550750732422, -0.07041152566671371]","[0.45968297123908997, 0.6172578930854797, -0.067320816218853]","[0.5144665241241455, 0.6254196763038635, -0.031777527183294296]","[0.4597386121749878, 0.6214243173599243, -0.07033059746026993]","[0.4163147211074829, 0.6213197708129883, -0.07356595993041992]","[0.44348224997520447, 0.39780372381210327, 0.0722108706831932]","[0.4351326525211334, 0.7167177796363831, -0.0746394544839859]"
"[0.49431586265563965, 0.5011874437332153, 0.05068306252360344]","[0.5335426330566406, 0.4934481978416443, 0.050536900758743286]","[0.5670482516288757, 0.49475646018981934, 0.0579504556953907]","[0.5910731554031372, 0.5024288892745972, 0.07839813083410263]","[0.5654444098472595, 0.5072789192199707, 0.055829983204603195]","[0.5314117670059204, 0.5065802335739136, 0.047620080411434174]","[0.37666261196136475, 0.5006488561630249, 0.04432230070233345]","[0.34367531538009644, 0.49264228343963623, 0.034973129630088806]","[0.30963134765625, 0.4939694106578827, 0.03696198761463165]","[0.28228116035461426, 0.5013694763183594, 0.05353863164782524]","[0.31147414445877075, 0.5061609745025635, 0.035305455327034]","[0.3460545837879181, 0.5054171681404114, 0.03244858607649803]","[0.3550325036048889, 0.6248607039451599, -0.042496852576732635]","[0.41871377825737, 0.6174542903900146, -0.06912773847579956]","[0.46075475215911865, 0.617564857006073, -0.06522691249847412]","[0.5144575238227844, 0.6252739429473877, -0.02880663052201271]","[0.46094226837158203, 0.6214947700500488, -0.06776855885982513]","[0.41781890392303467, 0.6213966012001038, -0.07184964418411255]","[0.44361624121665955, 0.3982018828392029, 0.06775936484336853]","[0.43555939197540283, 0.7161359190940857, -0.07012680172920227]"
"[0.4946301281452179, 0.5015535950660706, 0.05303017422556877]","[0.5340043306350708, 0.4940544366836548, 0.0529305525124073]","[0.5673923492431641, 0.49535390734672546, 0.0601436011493206]","[0.5919204950332642, 0.5031063556671143, 0.08034246414899826]","[0.566189706325531, 0.507814884185791, 0.057635340839624405]","[0.5320180058479309, 0.5070938467979431, 0.049602873623371124]","[0.37651264667510986, 0.5011990070343018, 0.04724511504173279]","[0.3435097932815552, 0.4933401942253113, 0.03823656961321831]","[0.30951836705207825, 0.4946937561035156, 0.04035896807909012]","[0.2817189395427704, 0.5022297501564026, 0.056934721767902374]","[0.31097063422203064, 0.506877601146698, 0.038315240293741226]","[0.34570667147636414, 0.5061127543449402, 0.03528890386223793]","[0.35417425632476807, 0.6248746514320374, -0.044788505882024765]","[0.41856077313423157, 0.6169101595878601, -0.07160218805074692]","[0.4613197445869446, 0.6170270442962646, -0.06794125586748123]","[0.5158799886703491, 0.625261664390564, -0.0318223275244236]","[0.4614039957523346, 0.620773196220398, -0.07123657315969467]","[0.41778868436813354, 0.6206652522087097, -0.07511990517377853]","[0.4433937668800354, 0.3984314799308777, 0.07462023943662643]","[0.43633973598480225, 0.7173082828521729, -0.07730696350336075]"
"[0.49461138248443604, 0.5016646981239319, 0.051792800426483154]","[0.5339725613594055, 0.4939296841621399, 0.05150645971298218]","[0.5674046874046326, 0.4951930046081543, 0.05856498330831528]","[0.5918842554092407, 0.5029926300048828, 0.07864025980234146]","[0.5660305023193359, 0.5077671408653259, 0.05615846440196037]","[0.5319111347198486, 0.5071032047271729, 0.048288799822330475]","[0.3772697150707245, 0.5012086629867554, 0.04655761271715164]","[0.34452372789382935, 0.49319642782211304, 0.037723783403635025]","[0.3106459379196167, 0.4945124089717865, 0.03996496647596359]","[0.2830996811389923, 0.5020418763160706, 0.05658087134361267]","[0.3121401071548462, 0.5066965818405151, 0.03795140981674194]","[0.3466784358024597, 0.506004273891449, 0.0348077155649662]","[0.3534564971923828, 0.624505877494812, -0.04276866093277931]","[0.41804254055023193, 0.6171032190322876, -0.0702468678355217]","[0.4612172245979309, 0.6172585487365723, -0.06674566864967346]","[0.5163701176643372, 0.6250230073928833, -0.03051075153052807]","[0.46119123697280884, 0.6208364963531494, -0.07012135535478592]","[0.41736724972724915, 0.6206947565078735, -0.07381411641836166]","[0.4436276853084564, 0.39812859892845154, 0.07208789139986038]","[0.4363558292388916, 0.7167222499847412, -0.0756668671965599]"
"[0.49414682388305664, 0.5012156963348389, 0.05153854936361313]","[0.5333154201507568, 0.49369215965270996, 0.051218003034591675]","[0.5666114091873169, 0.4949676990509033, 0.058333273977041245]","[0.5909613370895386, 0.5025874972343445, 0.07846888154745102]","[0.5652034282684326, 0.5072989463806152, 0.056030359119176865]","[0.5312080979347229, 0.5066014528274536, 0.04811542108654976]","[0.37686410546302795, 0.5007718801498413, 0.04614763706922531]","[0.3441222906112671, 0.4930328130722046, 0.03718329221010208]","[0.3103518486022949, 0.49438926577568054, 0.039386406540870667]","[0.2828649580478668, 0.5017378926277161, 0.05600368231534958]","[0.3119402527809143, 0.506289005279541, 0.037495747208595276]","[0.34639811515808105, 0.5055319666862488, 0.03441673517227173]","[0.35340267419815063, 0.6242431998252869, -0.042802952229976654]","[0.4176276922225952, 0.6168521046638489, -0.06990370154380798]","[0.4604054093360901, 0.616999089717865, -0.06634105741977692]","[0.5150835514068604, 0.6247559785842896, -0.030305109918117523]","[0.46052286028862, 0.6205050945281982, -0.06967034190893173]","[0.4169650375843048, 0.6203756332397461, -0.07341291010379791]","[0.443179726600647, 0.3980136215686798, 0.07134711742401123]","[0.435550719499588, 0.7159709930419922, -0.07463199645280838]"
"[0.4944882392883301, 0.5010642409324646, 0.05161086842417717]","[0.5337824821472168, 0.49370449781417847, 0.0511433370411396]","[0.5670580863952637, 0.49505090713500977, 0.05810490623116493]","[0.5914641618728638, 0.5027041435241699, 0.07811688631772995]","[0.5654943585395813, 0.5072593688964844, 0.055839959532022476]","[0.5315002202987671, 0.5064709186553955, 0.04803391918540001]","[0.37722331285476685, 0.5005635023117065, 0.046633489429950714]","[0.3446221649646759, 0.4928785264492035, 0.037732481956481934]","[0.3108924925327301, 0.4942625164985657, 0.04001482576131821]","[0.2833864092826843, 0.5016288161277771, 0.0567006953060627]","[0.31238701939582825, 0.5060696601867676, 0.03817238286137581]","[0.34677618741989136, 0.5053161978721619, 0.03497029468417168]","[0.35317280888557434, 0.6242063045501709, -0.04285207390785217]","[0.41707614064216614, 0.6167759299278259, -0.07011065632104874]","[0.4595980644226074, 0.6169590353965759, -0.0667426809668541]","[0.5143882632255554, 0.6248670816421509, -0.030986113473773003]","[0.45964646339416504, 0.6206148862838745, -0.07002881914377213]","[0.4161345362663269, 0.6204378604888916, -0.0735960379242897]","[0.44408366084098816, 0.3987070918083191, 0.07186756283044815]","[0.43405020236968994, 0.7162262797355652, -0.07458275556564331]"
"[0.4952245354652405, 0.5011888146400452, 0.05180569738149643]","[0.5344834327697754, 0.49414148926734924, 0.051386840641498566]","[0.5675788521766663, 0.4955434799194336, 0.0584096685051918]","[0.5920162200927734, 0.5030664801597595, 0.07842528820037842]","[0.5661383867263794, 0.5075280666351318, 0.056075237691402435]","[0.5322054624557495, 0.5066752433776855, 0.0482424832880497]","[0.3780912458896637, 0.5003505945205688, 0.04678458347916603]","[0.3457784950733185, 0.49277403950691223, 0.03790547326207161]","[0.312264621257782, 0.4940207004547119, 0.040189601480960846]","[0.28473830223083496, 0.5011463761329651, 0.0568368062376976]","[0.3134898841381073, 0.5056598782539368, 0.03828069940209389]","[0.3477246165275574, 0.5050010681152344, 0.03512803092598915]","[0.35416629910469055, 0.6239341497421265, -0.042921509593725204]","[0.4178633391857147, 0.6167282462120056, -0.07016544789075851]","[0.46051275730133057, 0.6169779896736145, -0.06676755100488663]","[0.5156211853027344, 0.6248518824577332, -0.031051725149154663]","[0.46057558059692383, 0.6203972101211548, -0.07022330909967422]","[0.4170883893966675, 0.6201508641242981, -0.07378175854682922]","[0.4450709819793701, 0.3980228304862976, 0.07255294173955917]","[0.4350736141204834, 0.7157963514328003, -0.0757846012711525]"
"[0.49587228894233704, 0.5009419322013855, 0.051993679255247116]","[0.5351775884628296, 0.4934714138507843, 0.05201193690299988]","[0.5686453580856323, 0.49487072229385376, 0.05946553125977516]","[0.5928958654403687, 0.5025970935821533, 0.07990657538175583]","[0.5670955181121826, 0.5072265863418579, 0.05717513710260391]","[0.5330289602279663, 0.5064226388931274, 0.04888525232672691]","[0.37805262207984924, 0.5000734925270081, 0.04532779008150101]","[0.34514471888542175, 0.49217575788497925, 0.036005567759275436]","[0.3112291991710663, 0.49347418546676636, 0.03786121681332588]","[0.2837108373641968, 0.500787079334259, 0.05440066009759903]","[0.31287357211112976, 0.5054675340652466, 0.03606421500444412]","[0.34743979573249817, 0.5047861933708191, 0.03331100195646286]","[0.3555617928504944, 0.6238252520561218, -0.04366154968738556]","[0.4197416305541992, 0.6168009042739868, -0.07005837559700012]","[0.4621496796607971, 0.6170107126235962, -0.06604313105344772]","[0.5165033340454102, 0.624613881111145, -0.029738396406173706]","[0.46239104866981506, 0.6203657984733582, -0.06929278373718262]","[0.419003963470459, 0.6201657056808472, -0.07350976765155792]","[0.4449218213558197, 0.3981279134750366, 0.07084067165851593]","[0.4370328187942505, 0.7158089876174927, -0.07365056872367859]"
"[0.49561500549316406, 0.5011845827102661, 0.05205696448683739]","[0.5349364280700684, 0.49361452460289, 0.051983073353767395]","[0.568315863609314, 0.4949900209903717, 0.05931951478123665]","[0.5926358699798584, 0.5027676224708557, 0.0797361359000206]","[0.566952109336853, 0.5074085593223572, 0.05699576437473297]","[0.5328631401062012, 0.5066614747047424, 0.04882236570119858]","[0.3780245780944824, 0.5004552602767944, 0.04588068276643753]","[0.3451074957847595, 0.4924941658973694, 0.03666668012738228]","[0.31119123101234436, 0.4938260614871979, 0.03868236392736435]","[0.28359830379486084, 0.5012628436088562, 0.0553479865193367]","[0.312723845243454, 0.5059002637863159, 0.03685002028942108]","[0.34734001755714417, 0.5052249431610107, 0.03394332900643349]","[0.35505062341690063, 0.6240035891532898, -0.04332726448774338]","[0.41955870389938354, 0.6169896721839905, -0.07020850479602814]","[0.4625157117843628, 0.617183268070221, -0.06633506715297699]","[0.5173609852790833, 0.6247187852859497, -0.02992168255150318]","[0.4626772999763489, 0.6205348372459412, -0.06984277814626694]","[0.418931245803833, 0.6203539371490479, -0.073902428150177]","[0.44430723786354065, 0.3978734314441681, 0.07149051129817963]","[0.4377341568470001, 0.7159473299980164, -0.07488799095153809]"
"[0.49457427859306335, 0.5010331273078918, 0.05123426392674446]","[0.5336869955062866, 0.4933713972568512, 0.05095592141151428]","[0.5669702291488647, 0.49468421936035156, 0.05809712037444115]","[0.5913277864456177, 0.5024293065071106, 0.07828331738710403]","[0.5656546950340271, 0.5071337223052979, 0.05584849417209625]","[0.5316844582557678, 0.5064378976821899, 0.047877490520477295]","[0.37780678272247314, 0.5005285143852234, 0.04571177437901497]","[0.34512901306152344, 0.49261829257011414, 0.03668736666440964]","[0.31147632002830505, 0.4940038323402405, 0.03885791450738907]","[0.2840886116027832, 0.5014508366584778, 0.05553238466382027]","[0.3129321336746216, 0.5060204863548279, 0.037059564143419266]","[0.34728193283081055, 0.5053243637084961, 0.03401815518736839]","[0.3545452952384949, 0.6240960359573364, -0.042552005499601364]","[0.41825515031814575, 0.616866946220398, -0.06965664029121399]","[0.46079427003860474, 0.6170238256454468, -0.06603318452835083]","[0.5153309106826782, 0.6247153282165527, -0.029972707852721214]","[0.4609311819076538, 0.6207625865936279, -0.06926087290048599]","[0.41751548647880554, 0.6206191182136536, -0.07303787022829056]","[0.44347578287124634, 0.3977420926094055, 0.0704803466796875]","[0.4363499879837036, 0.7160084843635559, -0.07364926487207413]"
"[0.49475911259651184, 0.5012112259864807, 0.050881411880254745]","[0.5337409973144531, 0.4937085509300232, 0.05065307393670082]","[0.5669410228729248, 0.4949706196784973, 0.057988736778497696]","[0.5911648869514465, 0.5024936199188232, 0.07837487757205963]","[0.5655621290206909, 0.5071164965629578, 0.05594409629702568]","[0.5316550135612488, 0.5064325928688049, 0.04777774587273598]","[0.3777405023574829, 0.5008260607719421, 0.04469728097319603]","[0.34493181109428406, 0.49321168661117554, 0.035359956324100494]","[0.31121766567230225, 0.49464714527130127, 0.03734653443098068]","[0.2837941646575928, 0.5019452571868896, 0.053982872515916824]","[0.312936007976532, 0.5063585042953491, 0.035763293504714966]","[0.3473494052886963, 0.5055535435676575, 0.0328732468187809]","[0.35475823283195496, 0.6239750385284424, -0.04201207682490349]","[0.4190793037414551, 0.6169406771659851, -0.06888832896947861]","[0.4617001414299011, 0.6170324683189392, -0.06503371894359589]","[0.516107976436615, 0.6243472099304199, -0.02853693626821041]","[0.46178901195526123, 0.6204365491867065, -0.06818897277116776]","[0.41839295625686646, 0.6203625202178955, -0.07222211360931396]","[0.44343113899230957, 0.39851269125938416, 0.06827908754348755]","[0.43722444772720337, 0.7161002159118652, -0.07178256660699844]"
